Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Catherine Evans,DEM Randy Roll,Totals
"District Judge, 180th Judicial District",0317,248,209,457,1588,28.78%,157,281,438
"District Judge, 180th Judicial District",0318,834,568,1402,3660,38.31%,84,1274,1358
"District Judge, 180th Judicial District",0319,512,230,742,2158,34.38%,51,671,722
"District Judge, 180th Judicial District",0320,234,168,402,1537,26.15%,210,179,389
"District Judge, 180th Judicial District",0321,262,191,453,2346,19.31%,171,255,426
"District Judge, 180th Judicial District",0322,181,129,310,1226,25.29%,103,195,298
"District Judge, 180th Judicial District",0323,278,211,489,1722,28.40%,243,217,460
"District Judge, 180th Judicial District",0324,532,646,1178,2336,50.43%,747,347,1094
"District Judge, 180th Judicial District",0325,289,193,482,2112,22.82%,108,355,463
"District Judge, 180th Judicial District",0326,87,74,161,698,23.07%,74,77,151
"District Judge, 180th Judicial District",0327,380,129,509,1729,29.44%,14,483,497
"District Judge, 180th Judicial District",0328,151,140,291,1434,20.29%,136,144,280
"District Judge, 180th Judicial District",0329,189,184,373,1397,26.70%,149,207,356
"District Judge, 180th Judicial District",0330,334,253,587,1936,30.32%,335,221,556
