Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Greg Abbott,DEM Wendy R. Davis,LIB Kathie Glass,GRN Brandon Parmer,Sarah M. Pavitt,Totals
Governor,0308,199,130,329,1296,25.39%,103,214,7,1,0,325
Governor,0309,708,593,1301,2524,51.55%,1017,261,12,0,0,1290
Governor,0310,386,279,665,1435,46.34%,442,211,4,2,0,659
Governor,0311,486,421,907,2986,30.38%,483,375,8,8,0,874
Governor,0312,742,457,1199,3636,32.98%,755,421,11,4,0,1191
Governor,0313,9,0,9,62,14.52%,7,2,0,0,0,9
Governor,0314,1121,913,2034,5647,36.02%,1256,730,29,6,1,2022
Governor,0315,478,388,866,1608,53.86%,474,374,7,2,0,857
Governor,0316,412,341,753,1537,48.99%,378,357,7,4,0,745
Governor,0317,250,209,459,1588,28.90%,138,307,4,4,0,453
Governor,0318,834,568,1402,3660,38.31%,72,1304,4,5,0,1385
Governor,0319,512,230,742,2158,34.38%,43,680,1,2,0,726
Governor,0320,234,168,402,1537,26.15%,196,188,3,0,0,387
Governor,0321,262,191,453,2346,19.31%,177,257,3,7,0,444
Governor,0322,182,129,311,1226,25.37%,95,201,9,3,0,308
Governor,0323,278,211,489,1722,28.40%,227,244,7,2,0,480
Governor,0324,532,646,1178,2336,50.43%,691,457,10,7,0,1155
Governor,0325,289,193,482,2112,22.82%,100,366,7,2,0,475
Governor,0327,380,129,509,1729,29.44%,8,493,2,0,0,503
Governor,0328,151,140,291,1434,20.29%,122,155,3,1,0,281
Governor,0329,191,184,375,1397,26.84%,151,206,7,3,0,357
Governor,0330,334,253,587,1936,30.32%,313,255,8,1,0,577
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Greg Abbott,DEM Wendy R. Davis,LIB Kathie Glass,GRN Brandon Parmer,Sarah M. Pavitt,Totals
Governor,0331,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,0332,18,7,25,138,18.12%,12,12,0,0,0,24
Governor,0333,524,714,1238,3021,40.98%,843,352,23,8,0,1225
Governor,0334,83,42,125,742,16.85%,22,100,0,1,0,123
Governor,0335,121,98,219,1300,16.85%,82,124,4,2,0,212
Governor,0336,870,624,1494,4051,36.88%,142,1324,11,5,0,1482
