Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jan Krocker,DEM Mark Thering,Totals
"District Judge, 184th Judicial District",0303,922,784,1706,3245,52.57%,1341,280,1621
"District Judge, 184th Judicial District",0304,606,505,1111,2298,48.35%,596,426,1022
"District Judge, 184th Judicial District",0305,524,432,956,4191,22.81%,407,524,931
"District Judge, 184th Judicial District",0306,649,342,991,1879,52.74%,701,233,934
"District Judge, 184th Judicial District",0307,733,670,1403,3099,45.27%,943,382,1325
"District Judge, 184th Judicial District",0308,199,130,329,1296,25.39%,115,195,310
"District Judge, 184th Judicial District",0309,708,593,1301,2524,51.55%,1014,211,1225
"District Judge, 184th Judicial District",0310,386,279,665,1435,46.34%,439,185,624
"District Judge, 184th Judicial District",0311,486,421,907,2986,30.38%,483,363,846
"District Judge, 184th Judicial District",0312,742,457,1199,3636,32.98%,754,391,1145
"District Judge, 184th Judicial District",0313,9,0,9,62,14.52%,7,2,9
"District Judge, 184th Judicial District",0314,1121,913,2034,5647,36.02%,1272,702,1974
"District Judge, 184th Judicial District",0315,478,388,866,1608,53.86%,501,307,808
"District Judge, 184th Judicial District",0316,412,341,753,1537,48.99%,389,306,695
"District Judge, 184th Judicial District",0317,248,209,457,1588,28.78%,151,285,436
"District Judge, 184th Judicial District",0318,834,568,1402,3660,38.31%,70,1288,1358
"District Judge, 184th Judicial District",0319,512,230,742,2158,34.38%,48,672,720
"District Judge, 184th Judicial District",0320,234,168,402,1537,26.15%,201,187,388
"District Judge, 184th Judicial District",0321,262,191,453,2346,19.31%,166,260,426
"District Judge, 184th Judicial District",0322,181,129,310,1226,25.29%,101,195,296
"District Judge, 184th Judicial District",0323,278,211,489,1722,28.40%,230,227,457
"District Judge, 184th Judicial District",0324,532,646,1178,2336,50.43%,697,386,1083
"District Judge, 184th Judicial District",0325,289,193,482,2112,22.82%,106,356,462
"District Judge, 184th Judicial District",0326,87,74,161,698,23.07%,78,72,150
"District Judge, 184th Judicial District",0327,380,129,509,1729,29.44%,10,490,500
