Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bud Wiesedeppe,DEM Alexandra Smoots-Hogan,Totals
"District Judge, 164th Judicial District",0300,3013,922,3935,5040,78.08%,2928,767,3695
"District Judge, 164th Judicial District",0301,450,655,1105,2397,46.10%,386,658,1044
"District Judge, 164th Judicial District",0302,713,635,1348,2724,49.49%,692,564,1256
"District Judge, 164th Judicial District",0303,1772,755,2527,3172,79.67%,1880,476,2356
"District Judge, 164th Judicial District",0304,970,648,1618,2266,71.40%,834,627,1461
"District Judge, 164th Judicial District",0305,1319,858,2177,3621,60.12%,773,1304,2077
"District Judge, 164th Judicial District",0306,1013,323,1336,1847,72.33%,906,332,1238
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bud Wiesedeppe,DEM Alexandra Smoots-Hogan,Totals
"District Judge, 164th Judicial District",0307,1242,876,2118,2931,72.26%,1403,583,1986
"District Judge, 164th Judicial District",0308,444,238,682,1266,53.87%,172,466,638
"District Judge, 164th Judicial District",0309,1385,612,1997,2529,78.96%,1491,366,1857
"District Judge, 164th Judicial District",0310,617,348,965,1437,67.15%,611,282,893
"District Judge, 164th Judicial District",0311,862,699,1561,2997,52.09%,636,749,1385
"District Judge, 164th Judicial District",0312,1600,718,2318,3669,63.18%,1194,972,2166
"District Judge, 164th Judicial District",0313,22,1,23,60,38.33%,12,9,21
"District Judge, 164th Judicial District",0314,2494,1221,3715,5225,71.10%,2182,1373,3555
"District Judge, 164th Judicial District",0315,711,479,1190,1618,73.55%,649,438,1087
"District Judge, 164th Judicial District",0316,682,411,1093,1522,71.81%,548,444,992
