Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dorothy Olmos,"DEM Lawrence Allen, Jr.",Totals
"Member, State Board of Education, District 4",0666,0,1,1,0,0.00%,0,1,1
"Member, State Board of Education, District 4",0675,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0676,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0677,220,239,459,954,48.11%,137,296,433
"Member, State Board of Education, District 4",0680,56,22,78,181,43.09%,34,36,70
"Member, State Board of Education, District 4",0683,48,50,98,261,37.55%,24,69,93
"Member, State Board of Education, District 4",0693,303,116,419,651,64.36%,106,287,393
"Member, State Board of Education, District 4",0697,1516,941,2457,4307,57.05%,554,1803,2357
"Member, State Board of Education, District 4",0698,1137,659,1796,2948,60.92%,186,1545,1731
"Member, State Board of Education, District 4",0702,150,123,273,549,49.73%,30,228,258
"Member, State Board of Education, District 4",0705,358,238,596,1520,39.21%,58,517,575
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dorothy Olmos,"DEM Lawrence Allen, Jr.",Totals
"Member, State Board of Education, District 4",0708,109,95,204,568,35.92%,104,89,193
"Member, State Board of Education, District 4",0714,77,3,80,304,26.32%,53,23,76
"Member, State Board of Education, District 4",0717,826,362,1188,1927,61.65%,158,979,1137
"Member, State Board of Education, District 4",0719,508,250,768,1617,47.50%,421,302,723
"Member, State Board of Education, District 4",0722,1893,642,2535,4357,58.18%,164,2281,2445
"Member, State Board of Education, District 4",0723,747,329,1076,1760,61.14%,229,800,1029
"Member, State Board of Education, District 4",0725,953,329,1282,2124,60.36%,531,695,1226
"Member, State Board of Education, District 4",0729,208,93,301,446,67.49%,178,109,287
"Member, State Board of Education, District 4",0733,25,62,87,172,50.58%,30,50,80
"Member, State Board of Education, District 4",0736,6,1,7,21,33.33%,0,6,6
"Member, State Board of Education, District 4",0737,25,5,30,53,56.60%,23,6,29
"Member, State Board of Education, District 4",0738,470,219,689,1294,53.25%,79,589,668
"Member, State Board of Education, District 4",0742,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0743,27,4,31,199,15.58%,17,12,29
"Member, State Board of Education, District 4",0749,99,57,156,359,43.45%,28,117,145
"Member, State Board of Education, District 4",0754,0,0,0,0,0.00%,0,0,0
