Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donna Bahorich,DEM Traci Jensen,LIB Gene Clark,GRN G C Molison,Totals
"Member, State Board of Education, District 6",0616,1352,970,2322,3378,68.74%,1486,650,61,24,2221
"Member, State Board of Education, District 6",0619,2133,857,2990,4266,70.09%,2078,685,90,21,2874
"Member, State Board of Education, District 6",0620,2382,856,3238,5271,61.43%,1441,1551,49,26,3067
"Member, State Board of Education, District 6",0621,397,203,600,1173,51.15%,271,275,18,7,571
"Member, State Board of Education, District 6",0622,1722,829,2551,4305,59.26%,1389,969,67,23,2448
"Member, State Board of Education, District 6",0623,1708,626,2334,3481,67.05%,1389,745,57,16,2207
"Member, State Board of Education, District 6",0624,9,0,9,16,56.25%,5,4,0,0,9
"Member, State Board of Education, District 6",0625,852,454,1316,1796,73.27%,680,490,40,16,1226
"Member, State Board of Education, District 6",0626,1148,655,1803,2838,63.53%,814,831,48,13,1706
"Member, State Board of Education, District 6",0628,292,456,748,1600,46.75%,291,398,15,8,712
"Member, State Board of Education, District 6",0631,1489,392,1881,2733,68.83%,1255,479,55,18,1807
"Member, State Board of Education, District 6",0633,1782,678,2460,3257,75.53%,1682,603,54,27,2366
"Member, State Board of Education, District 6",0640,1382,723,2105,3548,59.33%,1111,828,67,21,2027
"Member, State Board of Education, District 6",0641,1265,878,2143,3375,63.50%,1222,762,74,14,2072
"Member, State Board of Education, District 6",0642,871,447,1318,1779,74.09%,1023,208,18,9,1258
"Member, State Board of Education, District 6",0643,2157,994,3151,5310,59.34%,1102,1822,69,28,3021
"Member, State Board of Education, District 6",0644,2123,1204,3327,5261,63.24%,1946,1111,102,34,3193
"Member, State Board of Education, District 6",0645,1639,895,2534,4035,62.80%,1069,1245,72,22,2408
"Member, State Board of Education, District 6",0646,708,456,1164,2163,53.81%,316,762,21,11,1110
"Member, State Board of Education, District 6",0647,1770,1020,2790,5593,49.88%,659,1875,32,22,2588
"Member, State Board of Education, District 6",0648,1590,558,2258,3197,70.63%,1509,607,50,16,2182
"Member, State Board of Education, District 6",0650,1328,939,2267,3151,71.95%,1562,561,46,11,2180
"Member, State Board of Education, District 6",0651,2085,1070,3155,4931,63.98%,1842,1094,77,21,3034
"Member, State Board of Education, District 6",0653,0,8,8,0,0.00%,2,6,0,0,8
"Member, State Board of Education, District 6",0661,1614,1012,2626,4179,62.84%,1298,1121,74,26,2519
"Member, State Board of Education, District 6",0667,989,547,1536,2181,70.43%,1107,330,28,7,1472
"Member, State Board of Education, District 6",0668,927,555,1582,2458,64.36%,918,543,42,17,1520
"Member, State Board of Education, District 6",0669,1606,823,2429,3243,74.90%,1605,639,60,20,2324
"Member, State Board of Education, District 6",0671,1090,773,1863,2942,63.32%,997,685,65,16,1763
"Member, State Board of Education, District 6",0672,2301,1078,3379,4710,71.74%,2113,1050,89,20,3272
"Member, State Board of Education, District 6",0678,297,164,461,756,60.98%,282,133,16,4,435
"Member, State Board of Education, District 6",0681,1,0,1,5,20.00%,0,1,0,0,1
"Member, State Board of Education, District 6",0684,72,24,96,187,51.34%,56,33,1,0,90
"Member, State Board of Education, District 6",0685,167,29,196,326,60.12%,83,93,7,3,186
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donna Bahorich,DEM Traci Jensen,LIB Gene Clark,GRN G C Molison,Totals
"Member, State Board of Education, District 6",0888,48,34,80,198,40.82%,15,58,4,1,78
"Member, State Board of Education, District 6",0887,1084,841,1725,2497,89.08%,1082,487,48,17,1832
"Member, State Board of Education, District 6",0888,1815,873,2488,3288,78.18%,1871,431,88,23,2393
"Member, State Board of Education, District 6",0889,505,851,1158,2278,50.79%,500,537,25,8,1070
"Member, State Board of Education, District 6",0890,1985,1118,3081,4184,73.84%,2278,597,80,19,2974
"Member, State Board of Education, District 6",0891,10,2,12,34,35.29%,3,8,0,1,12
"Member, State Board of Education, District 6",0894,420,137,557,817,88.18%,348,173,9,3,533
"Member, State Board of Education, District 6",0701,142,115,257,554,48.39%,123,118,2,3,248
"Member, State Board of Education, District 6",0708,222,135,357,529,87.49%,157,178,10,3,348
