Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Richard Risinger,DEM Larry Weiman,Totals
"District Judge, 80th Judicial District",0324,967,718,1685,2339,72.04%,1039,512,1551
"District Judge, 80th Judicial District",0325,656,397,1053,2251,46.78%,224,773,997
"District Judge, 80th Judicial District",0326,202,128,330,678,48.67%,126,169,295
"District Judge, 80th Judicial District",0327,725,244,970,1751,55.40%,14,925,939
"District Judge, 80th Judicial District",0328,344,270,614,1361,45.11%,223,360,583
"District Judge, 80th Judicial District",0329,405,307,712,1367,52.08%,214,445,659
"District Judge, 80th Judicial District",0330,590,376,966,1849,52.24%,425,470,895
"District Judge, 80th Judicial District",0331,0,1,1,0,0.00%,1,0,1
"District Judge, 80th Judicial District",0332,23,4,27,128,21.09%,10,15,25
"District Judge, 80th Judicial District",0333,1018,939,1957,2901,67.46%,1352,492,1844
"District Judge, 80th Judicial District",0334,255,114,369,755,48.87%,74,280,354
"District Judge, 80th Judicial District",0335,285,246,531,1227,43.28%,149,326,475
"District Judge, 80th Judicial District",0336,1818,588,2406,3161,76.12%,202,2119,2321
"District Judge, 80th Judicial District",0337,309,207,516,951,54.26%,84,417,501
"District Judge, 80th Judicial District",0338,1540,824,2364,4673,50.59%,641,1571,2212
